,count,crime,cuadrante,end_period,population,rank,sector,start_period
0,135,HOMICIDIO DOLOSO,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
1,17,HOMICIDIO DOLOSO,S-3.4.10,2021-05,25784.0,2,FUENTE,2020-06
2,15,HOMICIDIO DOLOSO,S-3.4.2,2021-05,38354.0,3,FUENTE,2020-06
3,11,HOMICIDIO DOLOSO,N-4.5.1,2021-05,14443.0,4,CONSULADO,2020-06
4,10,HOMICIDIO DOLOSO,O-2.3.12,2021-05,13439.0,5,SANTA CRUZ,2020-06
5,10,HOMICIDIO DOLOSO,O-2.5.8,2021-05,32571.0,5,TEZONCO,2020-06
6,411,LESIONES POR ARMA DE FUEGO,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
7,9,LESIONES POR ARMA DE FUEGO,P-1.2.6,2021-05,45966.0,2,PLATEROS,2020-06
8,7,LESIONES POR ARMA DE FUEGO,N-2.1.1,2021-05,30506.0,3,ARAGON,2020-06
9,7,LESIONES POR ARMA DE FUEGO,N-4.4.3,2021-05,12135.0,3,CONGRESO,2020-06
10,6,LESIONES POR ARMA DE FUEGO,C-2.1.14,2021-05,9804.0,5,ASTURIAS,2020-06
11,6,LESIONES POR ARMA DE FUEGO,N-4.5.2,2021-05,11376.0,5,CONSULADO,2020-06
12,6,LESIONES POR ARMA DE FUEGO,O-2.2.13,2021-05,15047.0,5,QUETZAL,2020-06
13,6,LESIONES POR ARMA DE FUEGO,O-2.5.11,2021-05,29794.0,5,TEZONCO,2020-06
14,6,LESIONES POR ARMA DE FUEGO,O-2.5.8,2021-05,32571.0,5,TEZONCO,2020-06
15,8,ROBO A BORDO DE METRO C.V.,N-3.2.1,2021-05,7668.0,1,PANTITLAN,2020-06
16,3,ROBO A BORDO DE METRO C.V.,N-1.2.8,2021-05,4937.0,2,LINDAVISTA,2020-06
17,2,ROBO A BORDO DE METRO C.V.,C-2.1.18,2021-05,4621.0,3,ASTURIAS,2020-06
18,2,ROBO A BORDO DE METRO C.V.,C-2.1.2,2021-05,4684.0,3,ASTURIAS,2020-06
19,2,ROBO A BORDO DE METRO C.V.,C-2.1.9,2021-05,4318.0,3,ASTURIAS,2020-06
20,2,ROBO A BORDO DE METRO C.V.,N-4.2.4,2021-05,9589.0,3,ARENAL,2020-06
21,2,ROBO A BORDO DE METRO C.V.,N-4.3.9,2021-05,9195.0,3,MERCED-BALBUENA,2020-06
22,2,ROBO A BORDO DE METRO C.V.,N-4.4.2,2021-05,6313.0,3,CONGRESO,2020-06
23,2,ROBO A BORDO DE METRO C.V.,N-4.6.9,2021-05,12102.0,3,MOCTEZUMA,2020-06
24,2,ROBO A BORDO DE METRO C.V.,P-3.5.9,2021-05,8447.0,3,TACUBAYA,2020-06
25,2,ROBO A BORDO DE METRO C.V.,S-1.1.6,2021-05,4472.0,3,NARVARTE-ALAMOS,2020-06
26,2,ROBO A BORDO DE METRO C.V.,S-1.2.15,2021-05,7085.0,3,DEL VALLE,2020-06
27,2,ROBO A BORDO DE METRO C.V.,S-1.3.9,2021-05,7414.0,3,NAPOLES,2020-06
28,38,ROBO A BORDO DE METRO S.V.,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
29,28,ROBO A BORDO DE METRO S.V.,N-4.2.4,2021-05,9589.0,2,ARENAL,2020-06
30,24,ROBO A BORDO DE METRO S.V.,P-3.5.9,2021-05,8447.0,3,TACUBAYA,2020-06
31,21,ROBO A BORDO DE METRO S.V.,N-3.2.1,2021-05,7668.0,4,PANTITLAN,2020-06
32,16,ROBO A BORDO DE METRO S.V.,C-2.2.14,2021-05,4567.0,5,BUENAVISTA,2020-06
33,16,ROBO A BORDO DE METRO S.V.,N-4.4.5,2021-05,9.0,5,CONGRESO,2020-06
34,16,ROBO A BORDO DE METRO S.V.,P-3.4.7,2021-05,3831.0,5,TACUBA,2020-06
35,13,ROBO A BORDO DE MICROBUS C.V.,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
36,5,ROBO A BORDO DE MICROBUS C.V.,N-3.3.8,2021-05,8760.0,2,TLACOTAL,2020-06
37,5,ROBO A BORDO DE MICROBUS C.V.,O-2.2.2,2021-05,11084.0,2,QUETZAL,2020-06
38,5,ROBO A BORDO DE MICROBUS C.V.,O-3.6.6,2021-05,28515.0,2,TEPEPAN,2020-06
39,4,ROBO A BORDO DE MICROBUS C.V.,N-3.2.4,2021-05,12225.0,5,PANTITLAN,2020-06
40,4,ROBO A BORDO DE MICROBUS C.V.,N-3.2.6,2021-05,10620.0,5,PANTITLAN,2020-06
41,4,ROBO A BORDO DE MICROBUS C.V.,N-3.3.5,2021-05,9789.0,5,TLACOTAL,2020-06
42,4,ROBO A BORDO DE MICROBUS C.V.,N-3.3.6,2021-05,13721.0,5,TLACOTAL,2020-06
43,4,ROBO A BORDO DE MICROBUS C.V.,O-2.1.10,2021-05,24085.0,5,OASIS,2020-06
44,4,ROBO A BORDO DE MICROBUS C.V.,O-2.5.7,2021-05,36811.0,5,TEZONCO,2020-06
45,4,ROBO A BORDO DE MICROBUS C.V.,O-3.3.5,2021-05,14609.0,5,MIXQUIC,2020-06
46,13,ROBO A BORDO DE MICROBUS S.V.,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
47,3,ROBO A BORDO DE MICROBUS S.V.,P-1.4.8,2021-05,651.0,2,SAN ANGEL,2020-06
48,3,ROBO A BORDO DE MICROBUS S.V.,S-2.3.5,2021-05,3719.0,2,TAXQUEÑA,2020-06
49,2,ROBO A BORDO DE MICROBUS S.V.,N-1.1.21,2021-05,10921.0,4,CUAUTEPEC,2020-06
50,2,ROBO A BORDO DE MICROBUS S.V.,O-1.5.9,2021-05,4382.0,4,GRANJAS,2020-06
51,2,ROBO A BORDO DE MICROBUS S.V.,O-2.5.3,2021-05,20163.0,4,TEZONCO,2020-06
52,2,ROBO A BORDO DE MICROBUS S.V.,P-1.2.3,2021-05,31166.0,4,PLATEROS,2020-06
53,2,ROBO A BORDO DE MICROBUS S.V.,P-3.3.3,2021-05,1739.0,4,SOTELO,2020-06
54,13,ROBO A BORDO DE TAXI C.V.,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
55,3,ROBO A BORDO DE TAXI C.V.,O-2.5.1,2021-05,22652.0,2,TEZONCO,2020-06
56,2,ROBO A BORDO DE TAXI C.V.,C-1.3.10,2021-05,892.0,3,ANGEL-ZONA ROSA,2020-06
57,2,ROBO A BORDO DE TAXI C.V.,N-1.2.2,2021-05,33.0,3,LINDAVISTA,2020-06
58,2,ROBO A BORDO DE TAXI C.V.,N-3.1.6,2021-05,16512.0,3,IZTACCIHUATL,2020-06
59,2,ROBO A BORDO DE TAXI C.V.,N-3.3.6,2021-05,13721.0,3,TLACOTAL,2020-06
60,2,ROBO A BORDO DE TAXI C.V.,N-4.2.5,2021-05,6618.0,3,ARENAL,2020-06
61,2,ROBO A BORDO DE TAXI C.V.,N-4.2.6,2021-05,4837.0,3,ARENAL,2020-06
62,2,ROBO A BORDO DE TAXI C.V.,N-4.6.6,2021-05,10409.0,3,MOCTEZUMA,2020-06
63,2,ROBO A BORDO DE TAXI C.V.,O-1.4.4,2021-05,29731.0,3,ESTRELLA,2020-06
64,2,ROBO A BORDO DE TAXI C.V.,O-2.2.4,2021-05,25464.0,3,QUETZAL,2020-06
65,2,ROBO A BORDO DE TAXI C.V.,O-2.3.13,2021-05,4332.0,3,SANTA CRUZ,2020-06
66,2,ROBO A BORDO DE TAXI C.V.,P-1.1.8,2021-05,22575.0,3,ALPES,2020-06
67,2,ROBO A BORDO DE TAXI C.V.,P-1.2.1,2021-05,9798.0,3,PLATEROS,2020-06
68,2,ROBO A BORDO DE TAXI C.V.,P-1.2.2,2021-05,16548.0,3,PLATEROS,2020-06
69,2,ROBO A BORDO DE TAXI C.V.,P-1.2.5,2021-05,19746.0,3,PLATEROS,2020-06
70,2,ROBO A BORDO DE TAXI C.V.,P-1.2.6,2021-05,45966.0,3,PLATEROS,2020-06
71,2,ROBO A BORDO DE TAXI C.V.,P-1.5.7,2021-05,40065.0,3,SANTA FE,2020-06
72,2,ROBO A BORDO DE TAXI C.V.,P-2.3.7,2021-05,11866.0,3,HORMIGA,2020-06
73,2,ROBO A BORDO DE TAXI C.V.,P-3.1.3,2021-05,2128.0,3,POLANCO-CASTILLO,2020-06
74,2,ROBO A BORDO DE TAXI C.V.,P-3.3.7,2021-05,1747.0,3,SOTELO,2020-06
75,2,ROBO A BORDO DE TAXI C.V.,P-3.4.15,2021-05,7179.0,3,TACUBA,2020-06
76,2,ROBO A BORDO DE TAXI C.V.,P-3.5.1,2021-05,1977.0,3,TACUBAYA,2020-06
77,2,ROBO A BORDO DE TAXI C.V.,P-3.5.9,2021-05,8447.0,3,TACUBAYA,2020-06
78,2,ROBO A BORDO DE TAXI C.V.,S-2.1.11,2021-05,4935.0,3,COYOACAN,2020-06
79,2,ROBO A BORDO DE TAXI C.V.,S-2.3.10,2021-05,6406.0,3,TAXQUEÑA,2020-06
80,9,ROBO A CASA HABITACION C.V.,P-1.7.2,2021-05,14678.0,1,EL YAQUI,2020-06
81,9,ROBO A CASA HABITACION C.V.,S-3.5.13,2021-05,17069.0,1,HUIPULCO-HOSPITALES,2020-06
82,7,ROBO A CASA HABITACION C.V.,O-3.3.2,2021-05,23753.0,3,MIXQUIC,2020-06
83,6,ROBO A CASA HABITACION C.V.,P-1.5.1,2021-05,31038.0,4,SANTA FE,2020-06
84,6,ROBO A CASA HABITACION C.V.,S-3.4.10,2021-05,25784.0,4,FUENTE,2020-06
85,10,ROBO A CUENTAHABIENTE C.V.,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
86,7,ROBO A CUENTAHABIENTE C.V.,O-3.3.6,2021-05,19073.0,2,MIXQUIC,2020-06
87,6,ROBO A CUENTAHABIENTE C.V.,O-3.6.4,2021-05,43511.0,3,TEPEPAN,2020-06
88,5,ROBO A CUENTAHABIENTE C.V.,N-2.4.5,2021-05,18305.0,4,QUIROGA,2020-06
89,5,ROBO A CUENTAHABIENTE C.V.,P-1.4.2,2021-05,3732.0,4,SAN ANGEL,2020-06
90,5,ROBO A CUENTAHABIENTE C.V.,P-2.1.4,2021-05,3284.0,4,CLAVERIA,2020-06
91,5,ROBO A CUENTAHABIENTE C.V.,P-3.5.9,2021-05,8447.0,4,TACUBAYA,2020-06
92,19,ROBO A NEGOCIO C.V.,O-1.2.14,2021-05,15435.0,1,ABASTO-REFORMA,2020-06
93,19,ROBO A NEGOCIO C.V.,P-1.5.7,2021-05,40065.0,1,SANTA FE,2020-06
94,18,ROBO A NEGOCIO C.V.,O-1.4.4,2021-05,29731.0,3,ESTRELLA,2020-06
95,18,ROBO A NEGOCIO C.V.,O-2.4.2,2021-05,8860.0,3,TEOTONGO,2020-06
96,18,ROBO A NEGOCIO C.V.,O-3.3.4,2021-05,13777.0,3,MIXQUIC,2020-06
97,18,ROBO A NEGOCIO C.V.,O-3.3.6,2021-05,19073.0,3,MIXQUIC,2020-06
98,57,ROBO A REPARTIDOR C.V.,P-1.2.6,2021-05,45966.0,1,PLATEROS,2020-06
99,48,ROBO A REPARTIDOR C.V.,(NO ESPECIFICADO),2021-05,,2,NO ESPECIFICADO,2020-06
100,36,ROBO A REPARTIDOR C.V.,P-1.5.1,2021-05,31038.0,3,SANTA FE,2020-06
101,27,ROBO A REPARTIDOR C.V.,O-2.1.10,2021-05,24085.0,4,OASIS,2020-06
102,27,ROBO A REPARTIDOR C.V.,P-1.2.4,2021-05,43264.0,4,PLATEROS,2020-06
103,14,ROBO A REPARTIDOR S.V.,N-3.2.6,2021-05,10620.0,1,PANTITLAN,2020-06
104,14,ROBO A REPARTIDOR S.V.,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
105,8,ROBO A REPARTIDOR S.V.,O-1.2.14,2021-05,15435.0,3,ABASTO-REFORMA,2020-06
106,8,ROBO A REPARTIDOR S.V.,S-2.5.1,2021-05,24813.0,3,XOTEPINGO,2020-06
107,7,ROBO A REPARTIDOR S.V.,O-1.1.2,2021-05,0.0,5,ABASTO-REFORMA,2020-06
108,7,ROBO A REPARTIDOR S.V.,P-1.2.8,2021-05,44133.0,5,PLATEROS,2020-06
109,91,ROBO A TRANSEUNTE C.V.,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
110,91,ROBO A TRANSEUNTE C.V.,P-3.5.9,2021-05,8447.0,1,TACUBAYA,2020-06
111,69,ROBO A TRANSEUNTE C.V.,O-3.6.4,2021-05,43511.0,3,TEPEPAN,2020-06
112,68,ROBO A TRANSEUNTE C.V.,N-4.4.1,2021-05,5774.0,4,CONGRESO,2020-06
113,65,ROBO A TRANSEUNTE C.V.,P-3.4.7,2021-05,3831.0,5,TACUBA,2020-06
114,53,ROBO A TRANSEUNTE S.V.,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
115,32,ROBO A TRANSEUNTE S.V.,N-4.4.1,2021-05,5774.0,2,CONGRESO,2020-06
116,24,ROBO A TRANSEUNTE S.V.,C-1.1.3,2021-05,811.0,3,CORREDOR-CENTRO,2020-06
117,22,ROBO A TRANSEUNTE S.V.,C-1.1.9,2021-05,2538.0,4,REVOLUCION-ALAMEDA,2020-06
118,16,ROBO A TRANSEUNTE S.V.,C-1.1.1,2021-05,36.0,5,REVOLUCION-ALAMEDA,2020-06
119,19,ROBO A TRANSPORTISTA C.V.,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
120,5,ROBO A TRANSPORTISTA C.V.,N-2.1.7,2021-05,11016.0,2,ARAGON,2020-06
121,4,ROBO A TRANSPORTISTA C.V.,P-2.4.2,2021-05,3328.0,3,LA RAZA,2020-06
122,4,ROBO A TRANSPORTISTA C.V.,P-2.4.5,2021-05,14968.0,3,LA RAZA,2020-06
123,3,ROBO A TRANSPORTISTA C.V.,O-2.4.2,2021-05,8860.0,5,TEOTONGO,2020-06
124,1,ROBO A TRANSPORTISTA S.V.,N-4.6.5,2021-05,11633.0,1,MOCTEZUMA,2020-06
125,1,ROBO A TRANSPORTISTA S.V.,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
126,1,ROBO A TRANSPORTISTA S.V.,O-2.1.21,2021-05,8359.0,1,OASIS,2020-06
127,1,ROBO A TRANSPORTISTA S.V.,P-2.2.9,2021-05,11851.0,1,CUITLAHUAC,2020-06
128,1,ROBO A TRANSPORTISTA S.V.,P-2.4.1,2021-05,2034.0,1,LA RAZA,2020-06
129,1,ROBO A TRANSPORTISTA S.V.,S-3.5.14,2021-05,33196.0,1,HUIPULCO-HOSPITALES,2020-06
130,166,ROBO DE VEHICULO AUTOMOTOR C.V.,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
131,30,ROBO DE VEHICULO AUTOMOTOR C.V.,S-3.5.14,2021-05,33196.0,2,HUIPULCO-HOSPITALES,2020-06
132,24,ROBO DE VEHICULO AUTOMOTOR C.V.,O-2.3.10,2021-05,37989.0,3,SANTA CRUZ,2020-06
133,22,ROBO DE VEHICULO AUTOMOTOR C.V.,N-1.1.18,2021-05,30453.0,4,CUAUTEPEC,2020-06
134,20,ROBO DE VEHICULO AUTOMOTOR C.V.,S-3.5.10,2021-05,24133.0,5,HUIPULCO-HOSPITALES,2020-06
135,111,ROBO DE VEHICULO AUTOMOTOR S.V.,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
136,47,ROBO DE VEHICULO AUTOMOTOR S.V.,O-3.6.4,2021-05,43511.0,2,TEPEPAN,2020-06
137,36,ROBO DE VEHICULO AUTOMOTOR S.V.,P-1.2.11,2021-05,17467.0,3,PLATEROS,2020-06
138,31,ROBO DE VEHICULO AUTOMOTOR S.V.,O-2.3.10,2021-05,37989.0,4,SANTA CRUZ,2020-06
139,31,ROBO DE VEHICULO AUTOMOTOR S.V.,O-2.5.10,2021-05,25684.0,4,TEZONCO,2020-06
140,31,ROBO DE VEHICULO AUTOMOTOR S.V.,O-3.4.5,2021-05,18217.0,4,ZAPOTITLA,2020-06
141,4,SECUESTRO,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
142,1,SECUESTRO,N-2.4.5,2021-05,18305.0,2,QUIROGA,2020-06
143,1,SECUESTRO,N-3.2.11,2021-05,7219.0,2,PANTITLAN,2020-06
144,1,SECUESTRO,N-4.5.6,2021-05,4480.0,2,CONSULADO,2020-06
145,1,SECUESTRO,O-1.1.3,2021-05,0.0,2,ABASTO-REFORMA,2020-06
146,1,SECUESTRO,O-2.1.10,2021-05,24085.0,2,OASIS,2020-06
147,1,SECUESTRO,O-2.1.23,2021-05,9252.0,2,OASIS,2020-06
148,1,SECUESTRO,O-2.4.9,2021-05,17817.0,2,TEOTONGO,2020-06
149,1,SECUESTRO,O-3.1.1,2021-05,24021.0,2,MILPA ALTA,2020-06
150,1,SECUESTRO,P-2.4.4,2021-05,14919.0,2,LA RAZA,2020-06
151,1,SECUESTRO,P-2.4.7,2021-05,9231.0,2,LA RAZA,2020-06
152,1,SECUESTRO,S-1.1.14,2021-05,4561.0,2,NARVARTE-ALAMOS,2020-06
153,1,SECUESTRO,S-3.4.1,2021-05,8891.0,2,FUENTE,2020-06
154,1,SECUESTRO,S-3.5.8,2021-05,4558.0,2,HUIPULCO-HOSPITALES,2020-06
155,335,VIOLACION,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
156,10,VIOLACION,O-3.6.7,2021-05,36921.0,2,TEPEPAN,2020-06
157,9,VIOLACION,N-2.3.7,2021-05,36217.0,3,PRADERA,2020-06
158,9,VIOLACION,O-3.6.9,2021-05,35908.0,3,TEPEPAN,2020-06
159,8,VIOLACION,O-3.5.1,2021-05,20258.0,5,LA NORIA,2020-06
160,8,VIOLACION,O-3.6.6,2021-05,28515.0,5,TEPEPAN,2020-06
161,8,VIOLACION,S-3.2.6,2021-05,16976.0,5,SAN JERONIMO,2020-06
162,8,VIOLACION,S-3.2.8,2021-05,23185.0,5,SAN JERONIMO,2020-06
163,8,VIOLACION,S-3.4.10,2021-05,25784.0,5,FUENTE,2020-06
